yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	5.155756747559845e+00	2.575230411318969e-01	2.167200480188629e+00	-8.077474192469203e-01	-1.076443809493636e+00	8.385638883314767e+02	1.544859780560079e+01
1	4.230587014794986e+00	2.563303679262571e-01	3.211333118084173e+00	-1.428248671145292e+00	-1.507080206507961e+00	7.457510029876780e+02	8.664059451807820e+00
1	5.295781958065772e+00	2.582323857384303e-01	1.838749891562383e+00	-9.464649972392405e-01	-6.553676278749347e-01	1.007582140549543e+03	1.306373492589538e+01
1	3.884578502829955e+00	2.567646390571759e-01	3.765281438739362e+00	-1.674336851725888e+00	-1.836844623061607e+00	7.808778856858357e+02	7.735045830498404e+00
1	1.288635311487474e+00	2.468992676107907e-01	2.060806058536659e+00	-7.408597656221104e-01	-8.856084909602040e-01	7.850068765069836e+02	7.520877105450214e+00
1	5.106149927641058e+00	2.573371361391760e-01	2.497997611479168e+00	-1.006129500441665e+00	-1.232902798842659e+00	8.944332887582024e+02	1.010904637141223e+01
1	1.437830319452828e+00	2.503513635257126e-01	3.229438987938018e+00	-1.338459061709458e+00	-1.562866823592135e+00	4.582074314747727e+02	5.573575911711728e+00
1	3.744050624603379e+00	2.529735897752611e-01	3.230996316741086e+00	-1.287266058963967e+00	-1.603173463286790e+00	3.144110000000000e+02	8.006760000000000e+00
1	4.784631359947812e+00	2.568376349104613e-01	3.358489219137887e+00	-1.659166121016589e+00	-1.423557612484522e+00	9.674439988448346e+02	1.046286783336879e+01
1	9.309535147006307e-01	2.488350318647800e-01	1.549553550200648e+00	-4.707417946703815e-01	-6.339986944704047e-01	7.420594000952850e+02	8.325665386129851e+00
1	3.048839352904332e+00	2.494366637257533e-01	3.721434882055543e+00	-1.667958286844362e+00	-1.673512821942517e+00	3.298460000000000e+02	7.369000000000000e+00
1	3.430190780047423e+00	2.497198168526640e-01	3.417728548702935e+00	-1.478226693717738e+00	-1.527061474734329e+00	3.809860000000000e+02	8.421200000000001e+00
1	4.640348076652964e+00	2.570130822235737e-01	3.131054242275606e+00	-1.349994626532348e+00	-1.492428368914529e+00	9.325270000000000e+02	1.241800000000000e+01
1	5.234960695941752e+00	2.578091929211319e-01	2.834088545623352e+00	-1.118893226213790e+00	-1.464089912015892e+00	1.012960000000000e+03	1.297770000000000e+01
1	5.655268241370488e+00	2.574192736376922e-01	2.918860403666596e+00	-1.279814473133596e+00	-1.375721838326272e+00	9.741420000000001e+02	1.230690000000000e+01
1	5.440599495867350e+00	2.577635748514146e-01	2.774934050957979e+00	-1.176751643183231e+00	-1.341199822474658e+00	9.630230000000000e+02	1.339480000000000e+01
1	1.598508909438888e+00	2.454375790131820e-01	3.157310707597754e+00	-1.405761030019760e+00	-1.390184702205627e+00	4.648810000000000e+02	5.460520000000000e+00
1	4.574837271300747e+00	2.556089701009620e-01	3.238352972149932e+00	-1.313806607318315e+00	-1.612134755807971e+00	5.789710000000000e+02	9.639360000000000e+00
1	5.343685553083614e+00	2.573151486693622e-01	2.809614352228901e+00	-1.178834587160739e+00	-1.357649171997807e+00	9.466690000000000e+02	1.269700000000000e+01
1	2.787866902572364e+00	2.471150842090348e-01	3.235609740687513e+00	-1.440996883136714e+00	-1.385135178100029e+00	2.541260000000000e+02	7.205030000000000e+00
1	5.004859552016755e+00	2.571588842739074e-01	2.987548986266544e+00	-1.382920672603273e+00	-1.327964663878306e+00	9.728850000000000e+02	1.236230000000000e+01
1	4.984370516251975e+00	2.569062198697081e-01	3.151796944950079e+00	-1.478074952348411e+00	-1.388420740933248e+00	9.566290000000000e+02	1.226200000000000e+01
